Company Name,Symbol
360 ONE WAM LIMITED,360ONE
ABB India Limited,ABB
APL Apollo Tubes Limited,APLAPOLLO
AU Small Finance Bank Limited,AUBANK
Adani Energy Solutions Limited,ADANIENSOL
Adani Enterprises Limited,ADANIENT
Adani Green Energy Limited,ADANIGREEN
Adani Ports and Special Economic Zone Limited,ADANIPORTS
Aditya Birla Capital Limited,ABCAPITAL
Alkem Laboratories Limited,ALKEM
Amber Enterprises India Limited,AMBER
Ambuja Cements Limited,AMBUJACEM
Angel One Limited,ANGELONE
Apollo Hospitals Enterprise Limited,APOLLOHOSP
Ashok Leyland Limited,ASHOKLEY
Asian Paints Limited,ASIANPAINT
Astral Limited,ASTRAL
Aurobindo Pharma Limited,AUROPHARMA
Avenue Supermarts Limited,DMART
Axis Bank Limited,AXISBANK
BSE Limited,BSE
Bajaj Auto Limited,BAJAJ-AUTO
Bajaj Finance Limited,BAJFINANCE
Bajaj Finserv Limited,BAJAJFINSV
Bandhan Bank Limited,BANDHANBNK
Bank of Baroda,BANKBARODA
Bank of India,BANKINDIA
Bharat Dynamics Limited,BDL
Bharat Electronics Limited,BEL
Bharat Forge Limited,BHARATFORG
Bharat Heavy Electricals Limited,BHEL
Bharat Petroleum Corporation Limited,BPCL
Bharti Airtel Limited,BHARTIARTL
Biocon Limited,BIOCON
Blue Star Limited,BLUESTARCO
Bosch Limited,BOSCHLTD
Britannia Industries Limited,BRITANNIA
CG Power and Industrial Solutions Limited,CGPOWER
Canara Bank,CANBK
Central Depository Services (India) Limited,CDSL
Cholamandalam Investment and Finance Company Limited,CHOLAFIN
Cipla Limited,CIPLA
Coal India Limited,COALINDIA
Coforge Limited,COFORGE
Colgate Palmolive (India) Limited,COLPAL
Computer Age Management Services Limited,CAMS
Container Corporation of India Limited,CONCOR
Crompton Greaves Consumer Electricals Limited,CROMPTON
Cummins India Limited,CUMMINSIND
Cyient Limited,CYIENT
DLF Limited,DLF
Dabur India Limited,DABUR
Dalmia Bharat Limited,DALBHARAT
Delhivery Limited,DELHIVERY
Divi's Laboratories Limited,DIVISLAB
Dixon Technologies (India) Limited,DIXON
Dr. Reddy's Laboratories Limited,DRREDDY
ETERNAL LIMITED,ETERNAL
Eicher Motors Limited,EICHERMOT
Exide Industries Limited,EXIDEIND
FSN E-Commerce Ventures Limited,NYKAA
Fortis Healthcare Limited,FORTIS
GAIL (India) Limited,GAIL
GMR AIRPORTS LIMITED,GMRAIRPORT
Glenmark Pharmaceuticals Limited,GLENMARK
Godrej Consumer Products Limited,GODREJCP
Godrej Properties Limited,GODREJPROP
Grasim Industries Limited,GRASIM
HCL Technologies Limited,HCLTECH
HDFC Asset Management Company Limited,HDFCAMC
HDFC Bank Limited,HDFCBANK
HDFC Life Insurance Company Limited,HDFCLIFE
HFCL Limited,HFCL
Havells India Limited,HAVELLS
Hero MotoCorp Limited,HEROMOTOCO
Hindalco Industries Limited,HINDALCO
Hindustan Aeronautics Limited,HAL
Hindustan Petroleum Corporation Limited,HINDPETRO
Hindustan Unilever Limited,HINDUNILVR
Hindustan Zinc Limited,HINDZINC
Hitachi Energy India Limited,POWERINDIA
Housing & Urban Development Corporation Limited,HUDCO
ICICI Bank Limited,ICICIBANK
ICICI Lombard General Insurance Company Limited,ICICIGI
ICICI Prudential Life Insurance Company Limited,ICICIPRULI
IDFC First Bank Limited,IDFCFIRSTB
IIFL Finance Limited,IIFL
ITC Limited,ITC
Indian Bank,INDIANB
Indian Energy Exchange Limited,IEX
Indian Oil Corporation Limited,IOC
Indian Railway Catering And Tourism Corporation Limited,IRCTC
Indian Railway Finance Corporation Limited,IRFC
Indian Renewable Energy Development Agency Limited,IREDA
Indus Towers Limited,INDUSTOWER
IndusInd Bank Limited,INDUSINDBK
